"SampleID","TaxaID","N_Taxa","file_taxatrans","file_attributes","Match_Official","locationId","activityYear","length_mm","Index_Class","AgeClass","AgeClass_text","COMMONNAME","RIS","NumAgeClass_Possible","LBR_Mainstem","FAMILY","oldFAMILY","GENUS","HYBRID","NONTARGET","NATIVE","BCG_ATTR","BCG_ATTR2","BCG_ATTR_ROMAN","HABITAT","TROPHIC","THERMAL_INDICATOR","REPRODUCTION","CONNECTIVITY","LBRmain_BCG","INDEX_NAME"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,675,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,640,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,670,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,630,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,680,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,710,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,610,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,500,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,625,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,695,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",2,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,620,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
"BRCald2005","CYPRINUS CARPIO",1,"LowerBoise_Fish_Taxa_Translator_20260508.csv","LowerBoise_Fish_Attributes_20260514.csv",TRUE,13211000,2005,590,"Main_Middleton",NA,NA,"COMMON CARP",FALSE,NA,TRUE,"CYPRINIDAE","CYPRINIDAE","CYPRINUS",FALSE,FALSE,"NON_NATIVE","6t","","VI t","B","OM","warm","",FALSE,"yes","LBR_Fish_BCG_v1"
