"SAMPLEID","INDEX_NAME","INDEX_CLASS","ni_total","pi_Cott","pi_nonnative","nt_total","nt_native","nt_nonnative","nt_natLeuc","pt_topcarn","pi_dom01","pi_dom02","nt_BCG_att123","nt_BCG2_att1234b","nt_BCG_att2","nt_BCG_att6t","pi_BCG_att123","pi_BCG_att6t","nt_ti_warm","pi_ti_cold","pi_ti_warm","pt_ti_cold","nt_repro_lithophil","d_ac_yoy_Cott","d_ac_yoy_rbt","n_ac_Cott","n_ac_rbt","n_ac_mwf","x_Obs_CatoRhin"
"BRParm2005","LBR_Fish_BCG_v1","Main_NotusParma",25,0,36,7,5,2,0,28.5714285714286,32,56,2,3,0,1,20,32,2,20,36,28.5714285714286,1,0,0,0,1,3,1
"BRParm2011","LBR_Fish_BCG_v1","Main_NotusParma",329,0,8.51063829787234,15,8,7,4,33.3333333333333,30.0911854103343,55.6231003039514,1,3,0,3,3.34346504559271,2.73556231003039,6,3.34346504559271,7.59878419452887,6.66666666666667,2,0,0,0,0,2,2
"BRParm2017","LBR_Fish_BCG_v1","Main_NotusParma",133,0,24.0601503759398,10,6,4,3,10,48.1203007518797,59.3984962406015,1,4,0,3,6.76691729323308,12.781954887218,3,6.76691729323308,12.781954887218,10,3,0,0,0,0,2,2
"BRSouthChan1995","LBR_Fish_BCG_v1","Main_SoChannel",338,0,0,10,10,0,5,20,36.094674556213,55.6213017751479,2,4,0,0,44.6745562130178,0,0,44.6745562130178,0,20,4,0,0,0,3,7,2
"BRSouthChan1996","LBR_Fish_BCG_v1","Main_SoChannel",301,0,2.32558139534884,8,6,2,1,50,73.421926910299,87.7076411960133,2,2,0,0,87.7076411960133,0,0,89.7009966777409,0,37.5,2,0,1,0,4,7,1
"BRSouthChan2003","LBR_Fish_BCG_v1","Main_SoChannel",195,0,3.07692307692308,9,7,2,1,55.5555555555556,44.1025641025641,74.8717948717949,3,3,0,0,75.3846153846154,0,1,77.9487179487179,0.512820512820513,44.4444444444444,3,0,1,0,5,7,1
"BRSouthChan2005","LBR_Fish_BCG_v1","Main_SoChannel",429,0.233100233100233,5.82750582750583,8,6,2,1,50,44.988344988345,67.5990675990676,3,5,0,0,85.7808857808858,0,0,89.7435897435897,0,50,5,0,1,1,5,7,2
"BRSouthChan2017","LBR_Fish_BCG_v1","Main_SoChannel",103,23.3009708737864,4.85436893203883,9,5,4,1,44.4444444444444,33.9805825242718,57.2815533980583,2,4,0,1,47.5728155339806,0.970873786407767,3,48.5436893203884,3.88349514563107,33.3333333333333,4,1,1,3,5,5,2
"BRVetMem1995","LBR_Fish_BCG_v1","Main_VetGlen",557,28.0071813285458,0,11,11,0,4,18.1818181818182,29.2639138240575,48.294434470377,3,7,1,0,50.0897666068223,0,0,50.0897666068223,0,27.2727272727273,6,1,1,1,4,8,2
"BRVetMem1996","LBR_Fish_BCG_v1","Main_VetGlen",315,0.634920634920635,1.26984126984127,8,6,2,1,37.5,57.4603174603175,80.3174603174603,2,3,0,1,60,0.317460317460317,1,60.9523809523809,0.317460317460317,37.5,3,1,0,2,2,8,1
