"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","INCLUDE_PARAMETER","INCLUDE_SYMBOL","INCLUDE_THRESHOLD","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","cf1764a0-4741-4b76-ba53-afd859933eac",5,3,"> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L3_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","cf1764a0-4741-4b76-ba53-afd859933eac",5,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRGlen1995",5,2,"> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRGlen1995",5,3,"> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L3_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRGlen1995",5,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","d431fc87-f222-499f-90cc-d7a26a249ad1",6,2,"> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0.333333333333333,"Main_VetGlen_L2_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","d431fc87-f222-499f-90cc-d7a26a249ad1",6,3,"> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L3_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","d431fc87-f222-499f-90cc-d7a26a249ad1",6,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem1996",3,2,"> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem1996",3,3,"> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0.333333333333333,"Main_VetGlen_L3_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem1996",3,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRGlen2001",6,2,"> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0.333333333333333,"Main_VetGlen_L2_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRGlen2001",6,3,"> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L3_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRGlen2001",6,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_BCG2_att1234b"
